"DateTime","DHI","DNI","Temperature","Pressure","Relative.Humidity","Wind.Speed","GHI"
"02-02-2012 18:00",0,0,24,1010,76.19,3.9,0
"22-12-2013 15:00",225,120,27,1010,61.44,3,283
"13-07-2014 21:00",0,0,29,1000,77.75,4.7,0
"24-04-2011 14:00",368,319,30,1000,69.95,2.6,631
"02-11-2014 23:00",0,0,26,1010,86.7,2.5,0
"03-12-2012 17:00",2,0,26,1000,90.75,4.1,2
"13-10-2013 10:00",225,683,32,1000,67.06,3,819
"18-08-2012 20:00",0,0,30,1000,68.32,2.8,0
"10-02-2011 21:00",0,0,24,1010,82.25,2,0
"17-10-2011 20:00",0,0,28,1000,80.5,1.8,0
"28-05-2014 06:00",69,56,29,1000,93.79,2.4,79
"11-01-2014 17:00",34,0,24,1010,76.18,2.7,34
"27-02-2012 17:00",79,141,28,1000,43.9,3,105
"09-12-2013 05:00",0,0,22,1000,86.37,3.8,0
"04-12-2013 18:00",0,0,25,1010,78.94,3.9,0
"17-12-2012 00:00",0,0,25,1010,77.06,4.3,0
"11-04-2011 14:00",205,707,34,1000,43.16,2.5,787
"02-11-2011 12:00",414,231,28,1000,79.29,1.7,616
"23-05-2012 09:00",326,389,34,1000,52.47,1.6,633
"25-02-2012 01:00",0,0,26,1000,82.84,0.9,0
"31-01-2013 20:00",0,0,24,1010,73.61,3.1,0
"29-04-2014 06:00",60,39,28,1000,84.73,2.7,66
"10-09-2014 22:00",0,0,28,1000,81.01,2.4,0
"08-08-2013 13:00",195,742,33,1000,54.32,1.8,899
"10-10-2013 16:00",136,96,29,1000,74.41,0.9,168
"17-06-2011 01:00",0,0,28,1000,64.13,4.5,0
"13-10-2013 00:00",0,0,26,1000,82.9,3.6,0
"13-01-2014 14:00",190,672,29,1010,56.01,2.4,646
"13-02-2013 16:00",189,205,29,1000,52.17,3.4,271
"24-04-2014 15:00",202,574,36,1000,39.03,3.3,577
"10-10-2012 00:00",0,0,27,1000,86.7,1.9,0
"19-10-2011 00:00",0,0,28,1000,85.65,1.1,0
"23-02-2011 05:00",0,0,25,1010,91.95,1.6,0
"27-07-2014 09:00",192,644,33,1000,49.57,3.8,684
"30-06-2014 02:00",0,0,27,1000,80.79,4.1,0
"17-05-2014 07:00",143,399,30,1000,83,2.3,305
"14-11-2012 10:00",212,727,29,1010,60.03,3.6,789
"18-05-2011 13:00",250,671,33,1000,56.01,3.3,876
"07-09-2014 00:00",0,0,26,1000,88.58,3.8,0
"27-01-2012 10:00",205,698,29,1010,57.21,1.8,725
"06-08-2014 22:00",0,0,29,1000,72.48,3.7,0
"24-08-2013 01:00",0,0,27,1000,88.27,2.6,0
"25-02-2012 05:00",0,0,25,1000,86.5,0.4,0
"31-12-2011 08:00",175,345,26,1010,82.4,2.4,320
"27-10-2014 19:00",0,0,26,1010,86.93,2.5,0
"25-06-2011 16:00",149,471,36,990,33.56,1.5,372
"05-04-2011 19:00",0,0,28,1000,77.98,3.5,0
"19-05-2011 19:00",0,0,30,1000,67.27,3.4,0
"13-04-2011 00:00",0,0,27,1000,86.8,2.5,0
"10-07-2014 07:00",150,32,27,1000,73.44,4.2,163
"16-07-2014 15:00",180,601,35,1000,41.57,4.4,590
"03-04-2014 10:00",286,591,38,1000,24.67,1.9,816
"04-12-2014 09:00",189,648,27,1010,60.99,2.1,599
"15-02-2014 22:00",0,0,25,1000,81.73,2.5,0
"09-06-2012 23:00",0,0,32,1000,58.5,3.5,0
"23-11-2011 06:00",16,0,25,1010,83.18,2.7,16
"24-03-2012 20:00",0,0,27,1010,60.83,2.8,0
"21-01-2011 18:00",0,0,24,1010,78.18,2.9,0
"09-02-2011 20:00",0,0,24,1000,76.55,2.2,0
"05-07-2012 07:00",124,413,29,1000,63.03,3.3,282
"27-10-2012 14:00",191,626,30,1000,63.16,3.3,620
"13-02-2013 12:00",451,146,33,1010,37.39,2.8,582
"25-07-2011 22:00",0,0,28,1000,80.41,3.7,0
"12-02-2014 16:00",141,478,28,1000,47.61,2.8,330
"21-03-2012 04:00",0,0,26,1000,90.31,3,0
"01-09-2013 04:00",0,0,27,1000,88.67,1.4,0
"24-06-2011 14:00",201,663,37,990,39.88,2.1,749
"15-06-2013 17:00",100,135,34,990,41.97,4.2,133
"22-07-2011 00:00",0,0,29,1000,73.74,4,0
"14-08-2013 22:00",0,0,26,1000,92.39,3,0
"07-12-2014 04:00",0,0,24,1010,87.14,1.5,0
"25-04-2014 20:00",0,0,30,1000,76.74,3.2,0
"20-02-2014 20:00",0,0,24,1010,72.77,2.9,0
"02-11-2013 12:00",210,732,29,1010,78.25,2.9,848
"28-11-2011 11:00",352,414,28,1000,80.37,2.3,692
"27-01-2014 04:00",0,0,23,1010,81.68,2.8,0
"08-09-2011 22:00",0,0,28,1000,82.28,3.1,0
"11-08-2014 17:00",92,208,30,1000,67.87,2.7,142
"12-05-2012 02:00",0,0,27,1000,90.82,3,0
"29-11-2011 19:00",0,0,26,1000,83.97,2.9,0
"06-11-2014 11:00",366,60,31,1010,56.36,2.9,419
"11-08-2014 12:00",200,754,32,1000,61.29,2.3,952
"20-11-2012 18:00",0,0,27,1000,82.21,3.1,0
"28-03-2011 01:00",0,0,27,1000,89.07,1.6,0
"19-03-2014 13:00",228,781,39,1000,16.86,1.8,949
"20-10-2013 10:00",376,301,29,1000,78.07,1.9,634
"17-08-2013 03:00",0,0,26,1000,89.26,3.1,0
"18-10-2011 18:00",0,0,29,1000,78.9,1.6,0
"12-09-2011 14:00",177,711,32,1000,68.53,0.7,747
"16-09-2011 00:00",0,0,27,1000,88.25,3.7,0
"29-09-2012 08:00",120,0,28,1000,84.64,1.7,120
"01-03-2014 21:00",0,0,25,1010,77.26,2.7,0
"29-12-2013 03:00",0,0,23,1010,79.63,2.3,0
"20-08-2011 18:00",0,0,29,1000,78.62,1.2,0
"24-01-2013 18:00",0,0,24,1010,71.72,3.6,0
